ingredient,is_vegan_friendly,not_vegan_reason,petroleum_oil_based,plant_oil_based,plant_oil_kind,mineral_based,plant_nonoil_based,animal_based,paraben_based,fragrance_based,is_synthetic,is_natural,function,proposed_risks,known_benefits,other_names,suflate_based,web,cunt
polysorbate 60,maybe,is a polysorbate of stearic acid. Stearic Acid can have plant or animal sources,no,no,,no,maybe,maybe,no,no,yes,no,"cleansing agent, emulsifier",no,,"monooctadecanoate poly(oxy-1,2-ethanediyl) derivs. sorbitan, monooctadecanoate sorbitan, poly(oxy-1,2-ethanediyl) derivs, poly(oxy-1,2-ethanediyl) derivs. sorbitan, monooctadecanoate, polyoxyethylene (20) sorbitan monostearate, polysorbate 60, polysorbate-60, sorbimacrogol stearate 300, sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs., sorbitan, monooctadecanoate, poly(oxy1,2ethanediyl) derivs.",no,,
sorbitan isostearate,maybe,"derived from sorbitol, which is plant-derived, and stearic acid, which may be plant- or animal-derived",no,no,,no,yes,maybe,no,no,yes,no,"cleansing agent, emulsifier",no,,"1,4-anhydro- 6-isooctadecanoate d-glucitol, 1,4-anhydro-d-glucitol, 6-isooctadecanoate, 6-isooctadecanoate 1,4-anhydro-d-glucitol, 6-isooctadecanoate d-glucitol, 1,4-anhydro-, anhydrosorbitol monoisostearate, d-glucitol, 1,4-anhydro-, 6-isooctadecanoate, monoisooctadecanoate sorbitan, sorbitan isostearate, sorbitan monoisostearate, sorbitan, monoisooctadecanoate",no,,
zinc gluconate,yes,,no,no,,yes,no,no,no,no,yes,no,"humectant, preservative",no,hydration,"bis(d-gluconato-1,2 ) zinc, bis(d-gluconato-1,2- zinc, bis(d-gluconato-o1,o2)zinc, zinc gluconate, zinc, bis(d-gluconato-.kappa.o1,.kappa.o2)-, (t-4)-, zinc, bis(d-gluconato-1,2-, zinc, bis(dgluconatoo1,o2)",no,,
water,yes,,no,no,,no,no,no,no,no,no,yes,solvent,no,hydration,"aqua, deionized water, distilled water, onsen-sui, purified water, water (aqua)",no,,
squalane,yes,,no,yes,"olive, wheat bran, rice bran, amaranth",no,no,no,no,no,no,yes,"emollient, antioxidant",no,"hydration, anti-aging","2,6,10,15,19,23-HEXAMETHYLTETRACOSANE, SQUALANE, TETRACOSANE, 2,6,10,15,19,23HEXAMETHYL, VEGETABLE SQUALANE",no,,
sorbitan olivate,yes,,no,yes,olive,no,yes,no,no,no,no,yes,"cleansing agent, emulsifier",no,,"ANHYDROSORBITOL MONOOLIVATE, FATTY ACIDS, OLIVE, MONOESTERS WITH SORBITAN, MONOESTERS WITH SORBITAN FATTY ACIDS, OLIVE, OLIVE MONOESTERS WITH SORBITAN FATTY ACIDS, SORBITAN MONOOLIVATE, SORBITAN OLIVATE",no,,
cetearyl olivate,maybe,may be derived from animals,no,yes,olive,no,no,maybe,no,no,no,yes,"emulsifier, texture enhancer",no,hydration,,no,,
jojoba esters,yes,,no,yes,jojoba,no,no,no,no,no,no,yes,"emollient, plant extracts, texture enhancer",no,hydration,SIMMONDSIA CHINENSIS ESTERS,no,,
glyceryl stearate se,maybe,may be derived from animals,no,yes,"olive, coconut",no,no,maybe,no,no,no,yes,"emollient, emulsifier, cleansing agent",no,hydration,"OCTADECANOIC ACID, ESTER WITH 1,2,3PROPANETRIOL, SELF-EMULSIFYING GLYCERYL MONOSTEARATE, STEARINE",no,,
panthenol,maybe,derived from vitamin b5,no,,,,,,,,,yes,"humectant, solvent",no,"hydration, soothing","2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL- BUTANAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYLBUTANAMIDE, BUTANAMIDE, 2,4-DIHYDROXY-N-(3-HYDROXYPROPYL)-3,3-DIMETHYL-, BUTANAMIDE, 2,4DIHYDROXYN(3HYDROXYPROPYL)3,3DIMETHYL,(+/), D-PANTOTHENYL ALCOHOL, DEXPANTHENOL, DL-PANTOTHENYL ALCOHOL, PANTHENOL , DL-FORM, PANTOTHENOL, PANTOTHENYL ALCOHOL, PROVITAMIN B5",no,,
cetyl palmitate,maybe,,no,no,,no,maybe,maybe,no,no,yes,maybe,"texture enhancer, emollient",no,,"HEXADECANOIC ACID, HEXADECYL ESTER, HEXADECYL ESTER HEXADECANOIC ACID, HEXADECYL PALMITATE, N-HEXADECYL HEXADECANOATE, PALMITYL PALMITATE",no,,
spilanthes acmella flower extract,yes,,no,no,,no,yes,no,no,,no,yes,,no,,,no,,
palmitoyl tripeptide-5,yes,,no,no,,no,no,no,no,no,yes,no,peptides,no,anti-aging,,no,,
sorbitan palmitate,maybe,may be derived from animals,no,no,,no,maybe,maybe,no,no,yes,maybe,"emulsifier, cleansing agent",no,,"1,4-ANHYDRO- 6-HEXADECANOATE D-GLUCITOL, 1,4-ANHYDRO-D-GLUCITOL, 6-HEXADECANOATE, 6-HEXADECANOATE 1,4-ANHYDRO-D-GLUCITOL, 6-HEXADECANOATE D-GLUCITOL, 1,4-ANHYDRO-, D-GLUCITOL, 1,4-ANHYDRO-, 6-HEXADECANOATE, MONOHEXADECANOATE SORBITAN, SORBITAN MONOPALMITATE, SORBITAN, MONOHEXADECANOATE",no,,
dunaliella salina extract,yes,,no,no,,no,yes,no,no,no,no,yes,"plant extracts, antioxidant",no,"anti-aging, soothing",,no,,
astaxanthin,maybe,may be extracted from algae and fish,no,no,,no,maybe,maybe,no,no,no,yes,"antioxidant, plant extracts, coloring agent/pigment",no,"anti-aging, soothing","(3S,3'S)-3,3'-DIHYDROXY-BETA,BETA-CAROTENE-4,4'-DIONE",no,,
sodium hyaluronate,not,extracted mainly from animal sources,no,no,,no,no,yes,no,no,no,yes,"humectant, antioxidant",no,"hydration, anti-aging, soothing"," HYALURONIC ACID, SODIUM SALT, SODIUM SALT HYALURONIC ACID",no,,
phenoxyethanol,yes,,no,no,,no,no,no,no,no,yes,no,preservative,yes,,"2-HYDROXYETHYL PHENYL ETHER, 2-PHENOXY- ETHANOL, 2-PHENOXYETHANOL, 2-PHENOXYETHYL ALCOHOL, ETHANOL, 2-PHENOXY-, ETHANOL, 2PHENOXY, ETHYLENE GLYCOL MONOPHENYL ETHER, PHENOXYTOL",no,"Pubmed: https://pubmed.ncbi.nlm.nih.gov/31588615/, EWG Skin Deep: https://www.ewg.org/skindeep/ingredients/704811-PHENOXYETHANOL/",
ethylhexylglycerin,yes,,no,no,,no,no,no,no,no,yes,no,"preservative, humectant",no,hydration,"1,2-PROPANEDIOL, 3-((2-ETHYLHEXYL)OXY)-, 3-((2-ETHYLHEXYL)OXY)- 1,2-PROPANEDIOL, ETHYLHEXYGLYCERIN, ETHYLHEXYLGLYCERIN,  OCTOXYGLYCERIN",no,,
tocopherol,yes,,no,yes,"soybean, canola, corn",no,yes,no,no,no,yes,maybe,antioxidant,no,"anti-aging, soothing, evens skin tone","2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-, 2H1BENZOPYRAN6OL, 3,4DIHYDRO2,5,7,8TETRAMETHYL2(4,8,12TRIMETHYLTRIDECYL), 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)- 2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-2H-1-BENZOPYRAN-6-OL, 3,4-DIHYDRO-2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-2H-BENZOPYRAN-6-OL, D-ALPHA-TOCOPHEROL, DL-A -TOCOP HEROL, DL-ALPHA-TOCOPHEROL, MIXED TOCOPHEROLS, NATURAL VITAMIN E, TOCOPHEROL, TOCOPHERYL, VITAMIN E, VITAMIN E OIL",no,,
